"X","Y","DateTime"
"443.8","697.9","237605534572"
"443.8","697.9","237605542843"
"436.9","583.8","237605551156"
"429.5","473.7","237605559505"
"438.7","462.3","237605567862"
"446.4","440.1","237605576233"
"444.7","436.5","237605584563"
"438.6","435.5","237605592890"
"440.3","435.2","237605601226"
"445.2","432.8","237605609522"
"448.8","432.2","237605617927"
"446.7","437.7","237605626218"
"442.7","437.8","237605634529"
"439.1","419.2","237605651290"
"441.7","419.6","237605659618"
"446.8","427.7","237605676145"
"442.5","428.5","237605684478"
"440.2","437.3","237605701233"
"441.3","438.5","237605709477"
"468.6","454.4","237605726193"
"488.0","466.9","237605734562"
"498.3","501.0","237605742769"
"499.5","492.3","237605751125"
"498.5","492.0","237605759441"
"493.6","512.0","237605767804"
"493.3","511.1","237605776149"
"494.9","508.2","237605784395"
"500.4","494.0","237605792862"
"501.4","489.9","237605801188"
"501.6","489.7","237605809511"
"497.5","510.3","237605817927"
"497.5","510.3","237605826136"
"502.4","513.8","237605834472"
"498.0","499.2","237605842815"
"498.4","503.5","237605851181"
"492.7","495.9","237605859459"
"503.2","499.4","237605867817"
"503.1","507.7","237605876130"
"507.6","508.4","237605884368"
"504.3","490.6","237605892752"
"512.3","499.6","237605901064"
"504.5","495.4","237605909371"
"503.2","499.4","237605917705"
"501.8","503.4","237605925971"
"509.3","504.3","237605934450"
"511.4","508.0","237605942630"
"511.7","510.3","237605950991"
"507.1","505.3","237605959482"
"503.1","489.9","237605967740"
"498.0","489.5","237605976182"
"498.0","489.5","237605984431"
"492.7","503.9","237605992736"
"495.7","497.3","237606001102"
"497.3","500.1","237606009393"
"509.6","503.5","237606017709"
"510.2","511.5","237606026154"
"503.0","509.5","237606034479"
"505.3","511.0","237606042810"
"501.2","510.3","237606051041"
"506.7","512.2","237606059505"
"498.7","494.8","237606067732"
"500.0","494.9","237606076081"
"500.0","494.9","237606084433"
"496.7","492.2","237606092778"
"501.0","487.9","237606101069"
"505.1","499.5","237606109532"
"502.1","500.9","237606117677"
"499.8","498.0","237606126218"
"497.4","500.4","237606134478"
"497.7","498.8","237606142871"
"497.9","495.3","237606151116"
"501.1","500.5","237606159468"
"492.2","502.3","237606167827"
"491.4","520.4","237606176207"
"476.1","504.7","237606184420"
"502.1","388.6","237606351080"
"494.9","416.9","237606359423"
"500.4","422.2","237606376020"
"498.4","434.0","237606384522"
"489.1","435.6","237606401014"
"492.6","412.4","237606409382"
"494.4","433.5","237606426122"
"493.9","437.3","237606434346"
"496.9","445.9","237606451131"
"500.9","455.7","237606459353"
"504.1","450.6","237606475942"
"494.1","420.3","237606484415"
"457.2","385.2","237606492720"
"406.1","332.1","237606501199"
