"X","Y","DateTime"
"199.6","221.9","237268344292"
"203.1","228.1","237268352572"
"202.5","229.4","237268360977"
"210.4","242.7","237268369332"
"212.4","241.7","237268377561"
"205.8","206.7","237268385967"
"220.6","222.0","237268394216"
"215.1","223.0","237268402578"
"244.4","252.4","237268410882"
"245.3","261.1","237268419233"
"245.8","261.8","237268427610"
"237.6","262.6","237268435959"
"229.3","262.7","237268444268"
"229.7","263.9","237268452643"
"224.4","259.4","237268460884"
"204.8","240.8","237268469193"
"201.8","240.5","237268477586"
"193.5","229.2","237268485896"
"192.1","224.8","237268494276"
"194.9","231.2","237268502633"
"199.2","262.2","237268510826"
"221.6","247.8","237268519252"
"222.6","248.4","237268527537"
"210.4","234.8","237268535962"
"195.2","235.4","237268552609"
"191.3","237.6","237268560919"
"167.8","206.0","237268577574"
"164.9","209.0","237268585821"
"140.5","223.2","237268602586"
"142.9","220.1","237268610888"
"164.7","209.8","237268627526"
"171.6","211.6","237268635883"
"176.3","236.4","237268652455"
"178.7","238.5","237268660848"
"166.0","241.7","237268677564"
"167.8","238.3","237268685904"
"176.7","245.8","237268694241"
"158.9","239.4","237268702591"
"190.6","263.6","237268710905"
"163.6","257.5","237268719184"
"189.7","262.0","237268727672"
"191.3","260.8","237268735856"
"188.8","267.4","237268752580"
"188.2","269.5","237268760879"
"184.9","255.8","237268777550"
"186.9","263.0","237268785797"
"210.3","267.3","237268802497"
"290.0","246.9","237268810914"
"344.6","232.2","237268827533"
"392.3","235.0","237268835844"
"389.2","247.2","237268852562"
"379.0","254.2","237268860913"
"399.4","270.6","237268869215"
"405.2","276.0","237268877631"
"406.9","273.0","237268885986"
"413.6","269.1","237268894123"
"415.7","265.8","237268902462"
"380.8","239.2","237268910750"
"404.7","251.7","237268919223"
"396.7","249.6","237268927491"
"398.6","253.0","237268935960"
"395.3","249.4","237268944177"
"402.6","245.6","237268952451"
"397.6","238.6","237268960763"
"384.1","231.7","237268969168"
"384.1","231.7","237268977443"
"371.4","196.9","237268985811"
"369.9","195.6","237268994141"
"359.5","197.1","237269002453"
"362.7","195.9","237269010805"
"364.9","200.5","237269019145"
"374.3","202.1","237269027459"
"367.3","194.9","237269035831"
"369.2","191.3","237269044109"
"345.2","174.2","237269052491"
"363.9","199.3","237269060788"
"363.6","211.5","237269069119"
"363.7","207.4","237269077496"
"361.4","202.6","237269085786"
"352.0","183.6","237269094129"
"353.6","181.5","237269102463"
"354.9","182.6","237269110763"
"352.7","196.8","237269119147"
"311.3","216.4","237269127485"
"251.3","250.4","237269135768"
"128.2","317.7","237269144149"
"120.4","285.7","237269152498"
"104.0","319.1","237269160851"
"121.5","285.5","237269169199"
"130.1","320.9","237269177556"
"134.2","308.4","237269185900"
"137.9","309.4","237269194201"
"132.6","335.0","237269202522"
"127.1","309.3","237269210818"
"125.8","319.3","237269219160"
"131.7","312.2","237269227465"
"147.5","355.7","237269235785"
"153.2","345.6","237269244083"
"138.8","321.1","237269252506"
"155.8","344.9","237269260771"
"148.2","325.1","237269269054"
"151.9","339.0","237269277640"
"129.9","320.1","237269285717"
"130.1","320.3","237269294131"
"142.1","320.0","237269302474"
"150.7","324.6","237269310952"
"146.6","332.1","237269319042"
"154.3","330.5","237269327692"
"147.8","325.1","237269335877"
"159.0","329.1","237269344262"
"159.6","335.6","237269352511"
"165.5","340.3","237269360806"
"161.3","337.7","237269369197"
"163.8","338.6","237269377521"
"163.2","341.0","237269385854"
"171.9","346.4","237269394205"
"168.4","339.0","237269402741"
"194.5","384.6","237269411012"
"202.3","383.5","237269419352"
"202.3","383.5","237269427426"
"204.4","377.7","237269435859"
"185.2","373.1","237269444157"
"185.2","373.0","237269452312"
"180.5","368.2","237269460850"
"183.9","343.6","237269469264"
"201.0","371.8","237269477598"
"203.5","381.4","237269485868"
"205.1","394.3","237269494040"
"206.0","394.3","237269502505"
"207.3","387.0","237269510656"
"188.7","387.7","237269519127"
"172.9","356.6","237269527579"
"174.3","355.8","237269535837"
"184.6","362.7","237269544171"
"184.6","362.7","237269552439"
"184.2","365.8","237269560796"
"201.5","380.1","237269569183"
"201.0","380.0","237269577485"
"197.3","378.6","237269585750"
"184.0","351.5","237269594161"
"179.8","350.9","237269602508"
"173.3","353.3","237269610863"
"167.3","352.0","237269619382"
"171.3","364.6","237269627582"
"169.7","360.3","237269635785"
"166.4","356.4","237269643996"
"170.6","354.7","237269652323"
"219.3","374.1","237269660934"
"221.9","364.0","237269668951"
"233.5","362.5","237269677498"
"238.4","365.5","237269685835"
"258.5","388.9","237269694131"
"246.6","381.8","237269702324"
"244.6","377.7","237269710836"
"227.4","367.7","237269719101"
"266.9","414.5","237269727478"
"299.0","489.3","237269735960"
"327.3","592.9","237269744293"
"399.0","718.0","237269752554"
"459.9","852.4","237269761035"
"493.4","990.2","237269769028"
"505.9","1082.0","237269777285"
"519.1","1165.5","237269785820"
"592.3","1247.5","237269794063"
"814.5","1451.8","237269810896"
"987.6","1464.4","237269835743"
"982.9","1430.9","237269852477"
"985.7","1441.3","237269860723"
"994.4","1450.8","237269877462"
"998.4","1448.8","237269885634"
"999.2","1454.7","237269894110"
"1003.7","1450.8","237269902551"
"1003.7","1450.8","237269910886"
"991.4","1428.2","237269919176"
"994.8","1425.1","237269927490"
"991.2","1433.4","237269935974"
"841.9","1276.9","237269944124"
"725.8","1142.5","237269952474"
"583.3","986.8","237269960851"
"477.7","866.1","237269969239"
"339.1","738.6","237269977564"
"224.5","611.2","237269985814"
"155.3","475.0","237269994112"
"171.6","482.4","237270002341"
"185.9","480.7","237270010969"
"165.7","464.8","237270027444"
"165.7","464.9","237270035958"
"207.7","494.7","237270052481"
"207.0","494.0","237270060630"
"216.5","496.6","237270068987"
"216.5","496.6","237270077325"
"228.7","498.6","237270085662"
"222.2","496.5","237270102514"
"166.6","429.7","237270110762"
"135.0","365.2","237270119108"
"98.7","281.4","237270127421"
"110.4","286.4","237270135743"
"99.1","271.9","237270144096"
"98.5","270.9","237270152411"
"105.8","270.2","237270160819"
"104.9","273.4","237270177520"
"107.8","274.3","237270185971"
"107.1","252.7","237270202547"
"101.3","257.7","237270210845"
"116.9","255.7","237270227401"
"131.5","263.7","237270235684"
"138.5","292.0","237270252215"
"140.1","296.3","237270260654"
"134.4","282.5","237270277450"
"146.4","295.9","237270285783"
"122.1","268.4","237270302276"
"122.1","268.4","237270310583"
"167.2","303.9","237270318970"
"153.7","299.7","237270327540"
"150.5","299.6","237270335775"
"136.7","308.3","237270344027"
"145.8","308.1","237270352540"
"146.3","304.8","237270360947"
"157.5","303.8","237270369079"
"156.0","304.5","237270377459"
"160.8","308.6","237270385665"
"161.0","315.1","237270394001"
"166.3","326.6","237270402335"
"168.1","328.3","237270410815"
"174.3","319.4","237270419061"
"176.6","311.8","237270427445"
"166.7","313.3","237270435693"
"170.9","317.2","237270443973"
"141.2","322.8","237270452396"
"171.6","326.0","237270460761"
"157.7","326.7","237270469071"
"162.9","320.5","237270477386"
"165.1","320.9","237270485731"
"170.4","324.1","237270493970"
"166.3","320.1","237270502381"
"165.8","319.1","237270510733"
"164.1","316.6","237270519090"
"160.0","328.9","237270527436"
"150.5","344.5","237270535635"
"131.2","357.5","237270543910"
"140.8","374.0","237270552255"
"136.4","375.4","237270560578"
"126.4","349.4","237270569150"
"140.1","355.1","237270577278"
"136.6","353.3","237270585760"
"132.3","356.8","237270594072"
"124.7","349.3","237270602362"
"126.3","344.7","237270610703"
"130.3","341.3","237270619060"
"133.2","345.6","237270627257"
"136.2","353.0","237270635624"
"133.2","354.1","237270643915"
"145.0","387.7","237270652591"
"143.9","384.4","237270660804"
"141.2","391.3","237270669078"
"141.0","379.5","237270677400"
"144.8","385.1","237270685783"
"161.2","378.5","237270693944"
"139.3","375.5","237270702421"
"141.5","364.7","237270710624"
"157.9","369.6","237270718929"
"153.9","352.5","237270727354"
"156.6","373.7","237270735778"
"156.8","373.0","237270743983"
"159.8","373.1","237270752281"
"147.6","355.1","237270760800"
"156.0","366.3","237270769220"
"147.0","358.0","237270777342"
"159.6","375.7","237270785588"
"163.0","383.7","237270793851"
"162.5","383.6","237270802210"
"146.4","367.5","237270810710"
"150.1","357.0","237270819009"
"152.3","358.6","237270827270"
"149.8","361.0","237270835547"
"160.1","363.7","237270843965"
"170.7","363.6","237270852357"
"211.5","365.7","237270860660"
"214.8","357.9","237270868991"
"217.9","357.0","237270877300"
"216.2","351.8","237270885558"
"218.0","358.5","237270893962"
"209.2","355.8","237270902274"
"207.6","353.4","237270910628"
"212.7","364.5","237270927199"
"217.5","368.6","237270935561"
"217.0","363.5","237270944118"
"225.3","362.9","237270952279"
"220.8","361.2","237270960547"
"212.0","348.9","237270968860"
"222.0","356.7","237270977157"
"200.0","338.8","237270985613"
"202.6","341.7","237270993854"
"203.0","350.5","237271002264"
"204.4","348.3","237271010665"
"204.4","352.9","237271018935"
"207.0","342.9","237271027422"
"199.7","336.3","237271035681"
"208.7","336.6","237271044121"
"179.7","322.5","237271052257"
"216.7","346.2","237271060703"
"214.8","344.5","237271069005"
"208.5","341.0","237271077313"
"209.5","345.0","237271085466"
"209.1","346.9","237271093904"
"212.6","347.3","237271102306"
"204.1","338.1","237271110525"
"185.5","323.5","237271118960"
"194.8","331.2","237271127335"
"151.2","296.4","237271135657"
"153.3","299.4","237271152289"
"129.1","280.6","237271160627"
"122.3","284.2","237271177295"
"120.3","277.8","237271185613"
"116.0","280.0","237271202123"
"112.1","284.7","237271210622"
"135.2","288.0","237271227263"
"143.4","292.7","237271235643"
"132.4","296.1","237271252192"
"128.1","295.3","237271260541"
"127.8","283.8","237271277298"
"127.0","282.2","237271285635"
"124.9","272.4","237271302205"
"122.5","266.3","237271310564"
"114.6","260.6","237271327223"
"107.3","256.0","237271335464"
"105.7","257.3","237271352292"
"102.7","262.3","237271360683"
"112.2","267.8","237271377269"
"105.8","260.1","237271385636"
"103.4","255.7","237271402288"
"119.2","266.2","237271410608"
"116.4","256.2","237271427218"
"110.7","250.1","237271435478"
"112.4","250.0","237271452138"
"105.5","246.3","237271460508"
"102.7","255.5","237271477337"
"104.1","253.6","237271485644"
"112.3","245.5","237271502258"
"110.0","240.4","237271510535"
"92.4","246.1","237271527263"
"96.7","251.4","237271535587"
"120.0","239.1","237271552217"
"156.6","221.5","237271560767"
"199.1","215.7","237271577425"
"225.6","228.9","237271585503"
"220.9","246.7","237271602330"
"214.4","242.5","237271610561"
"211.3","231.8","237271627292"
"208.5","227.0","237271635629"
"211.9","228.3","237271652117"
"217.8","232.8","237271660574"
"216.8","231.2","237271677179"
"200.9","223.1","237271685427"
"197.6","226.8","237271702186"
"205.8","224.2","237271710436"
"210.3","214.2","237271727170"
"215.0","219.0","237271735546"
"209.2","214.6","237271752353"
"204.0","219.5","237271760518"
"233.9","222.5","237271777379"
"290.8","220.7","237271785389"
"304.0","236.8","237271801990"
"304.1","233.4","237271810578"
"304.1","233.4","237271818905"
"300.6","236.6","237271827157"
"302.1","236.1","237271835538"
"303.8","232.3","237271843872"
"315.8","221.3","237271852274"
"334.3","250.1","237271860414"
"343.3","232.4","237271868950"
"340.2","234.8","237271877132"
"334.0","233.9","237271885408"
"316.0","234.9","237271893972"
"322.6","250.0","237271902196"
"324.4","250.5","237271910377"
"328.1","254.6","237271919089"
"322.2","235.3","237271927133"
"319.4","236.3","237271935484"
"326.3","235.2","237271943817"
"330.4","251.4","237271952219"
"336.4","256.0","237271960563"
"336.3","257.4","237271968764"
"332.0","266.4","237271977309"
"331.3","262.7","237271985687"
"320.9","264.2","237271993851"
"325.3","257.6","237272002132"
"337.7","252.7","237272010511"
"365.1","253.8","237272018768"
"361.2","237.6","237272027183"
"391.2","260.9","237272035454"
"396.5","261.8","237272043686"
"385.7","256.8","237272052144"
"400.8","265.3","237272060691"
"395.1","266.8","237272069031"
